Date of Sale (dd/mm/yyyy),Sale Year,Sale Month,is_apartment,location,Description of Property,Not Full Market Price,Price_Adjusted_VAT_Clamped,vat_adjusted_flag
2016-12-08,2016,12,0,Dublin 24,Second-Hand Dwelling house /Apartment,No,238000.0,0
2016-11-09,2016,11,0,Dublin 25,Second-Hand Dwelling house /Apartment,No,317500.0,0
2016-06-28,2016,6,0,Dublin 15,Second-Hand Dwelling house /Apartment,No,160000.0,0
2016-03-09,2016,3,0,Cork,Second-Hand Dwelling house /Apartment,No,200000.0,0
2016-03-04,2016,3,0,Meath,Second-Hand Dwelling house /Apartment,Yes,170000.0,0
2016-07-15,2016,7,0,Dublin 16,Second-Hand Dwelling house /Apartment,No,650000.0,0
2016-04-08,2016,4,1,Dublin 4,Second-Hand Dwelling house /Apartment,No,265000.0,0
2016-07-08,2016,7,0,Roscommon,Second-Hand Dwelling house /Apartment,No,110000.0,0
2016-06-20,2016,6,0,Tipperary,Second-Hand Dwelling house /Apartment,No,320000.0,0
2016-04-07,2016,4,0,Dublin 2,Second-Hand Dwelling house /Apartment,No,193516.0,0
2016-08-26,2016,8,0,Kerry,Second-Hand Dwelling house /Apartment,No,200000.0,0
